"Country" "Master.ID"
"250" "China" "HGDP01211"
"251" "Papua New Guinea" "HGDP00545"
"252" "Russia" "S_Itelman-1"
"253" "Russia" "Ale14"
"254" "Russia" "HGDP00951"
"255" "Russia" "Esk29"
"256" "Israel" "HGDP00569"
"257" "Papua New Guinea" "HGDP00552"
"258" "Nepal" "Kusunda15"
"259" "Myanmar" "S_Burmese-2"
"260" "India" "S_Relli-1"
"261" "India" "S_Kapu-1"
"262" "Italy" "HGDP01168"
"263" "Pakistan" "HGDP00195"
"264" "Russia" "HGDP00903"
"265" "Congo" "S_Kongo-2"
"266" "Cameroon" "T_Mada-1"
"267" "China" "HGDP01203"
"268" "China" "HGDP01228"
"269" "Pakistan" "HGDP00125"
"270" "Cameroon" "T_Bakola-1"
"271" "Peru" "NA11201"
"272" "Brunei" "S_Dusun-2"
"273" "Canada" "Cree6"
"274" "Ethiopia" "T_Mursi-1"
"275" "Central African Republic" "T_Kaba-2"
"276" "Ethiopia" "T_Aari-2"
"277" "Hungary" "NA15203"
"278" "Tajikistan" "S_Tajik-2"
"279" "Russia" "abh107"
"280" "Argentina" "TGBS21"
"281" "Iran" "iran17"
"282" "Nigeria" "S_Igbo-1"
"283" "India" "S_Yadava-2"
"284" "Taiwan" "NA13607"
"285" "Cambodia" "HGDP00713"
"286" "Tanzania" "T_Hadza-2"
"287" "Cameroon" "T_Tikar_South-1"
"288" "Kenya" "T_Ogiek-1"
"289" "South Korea" "ND19394"
"290" "China" "HGDP01312"
"291" "China" "HGDP01297"
"292" "Russia" "Sir26"
"293" "Russia" "Nlk3"
"294" "Iceland" "NA15763"
"295" "Thailand" "CHI034"
"296" "Papua New Guinea" "HGDP00553"
"297" "Sudan" "DNK11"
"298" "Nigeria" "HG03100"
"299" "Kenya" "T_Kikuyu-2"
"300" "India" "S_Brahmin-1"
"301" "Peru" "S_Quechua-3"
"302" "Kenya" "T_Sengwer-2"
"303" "India" "S_Madiga-1"
"304" "Tanzania" "T_Sandawe-1"
"305" "Ethiopia" "T_Amhara-1"
"306" "Chad" "T_Laka-1"
"307" "Philippines" "Igorot21"
"308" "China" "HGDP01306"
"309" "Pakistan" "S_Punjabi-4"
"310" "Finland" "S_Finnish-3"
"311" "Australia" "B_Australian-3"
"312" "Mexico" "mixe0007"
"313" "Italy" "HGDP01076"
"314" "Nigeria" "HGDP00936"
"315" "Brazil" "HGDP01015"
"316" "Australia" "B_Australian-4"
"317" "Senegal" "HGDP01286"
"318" "Congo" "HGDP00982"
"319" "Papua New Guinea" "HGDP00546"
"320" "Namibia" "HGDP01036"
"321" "Namibia" "HGDP00991"
"322" "Taiwan" "NA13616"
"323" "Russia" "S_Mansi-2"
"324" "Papua New Guinea" "HGDP00556"
"325" "China" "HGDP01335"
"326" "Russia" "Nesk_25"
"327" "BotswanaOrNamibia" "HGDP01030"
"328" "Russia" "Nlk1"
"329" "Iraq" "IraqiJew1771"
"330" "Nepal" "T_Sherpa-2"
"331" "Czech Republic" "NA15728"
"332" "Greece" "B_Crete-1"
"333" "Bangladesh" "HG03006"
"334" "Russia" "S_Lezgin-2"
"335" "Greece" "NA17377"
"336" "China" "HGDP01179"
"337" "Armenia" "armenia293"
"338" "Estonia" "Est400"
"339" "Mexico" "HGDP01044"
"340" "China" "HGDP01098"
"341" "China" "HGDP01308"
"342" "Taiwan" "NA13604"
"343" "Kenya" "NA19044"
"344" "United Kingdom" "HG00126"
"345" "Russia" "Tuba9"
"346" "Greece" "B_Crete-2"
"347" "Nepal" "T_Tibetan-2"
"348" "India" "S_Irula-1"
"349" "India" "S_Yadava-1"
"350" "Cameroon" "T_Bedzan-1"
"351" "Philippines" "S_Igorot-1"
"352" "Tajikistan" "S_Tajik-1"
"353" "Finland" "HG00174"
"354" "Vietnam" "HG01600"
"355" "Ethiopia" "T_Aari-1"
"356" "Central African Republic" "T_Kaba-1"
"357" "China" "HGDP01095"
"358" "Thailand" "CHI007"
"359" "Sudan" "DNK05"
"360" "Russia" "Ale20"
"361" "Russia" "S_Eskimo_Sireniki-2"
"362" "Pakistan" "HGDP00019"
"363" "China" "HGDP01350"
"364" "Pakistan" "HGDP00216"
"365" "Papua New Guinea" "HGDP00540"
"366" "Italy" "HGDP01079"
"367" "Papua New Guinea" "HGDP00542"
"368" "Russia" "HGDP00887"
"369" "Pakistan" "HGDP00208"
"370" "Italy" "HGDP01163"
"371" "Kenya" "T_Elmolo-2"
"372" "Cameroon" "T_Baka-1"
"373" "China" "HGDP01315"
"374" "China" "HGDP00783"
"375" "Japan" "HGDP00773"
"376" "Pakistan" "HGDP00157"
"377" "Pakistan" "HGDP00090"
"378" "France" "HGDP01365"
"379" "Pakistan" "HGDP00027"
"380" "China" "HGDP01198"
"381" "United Kingdom" "HGDP00796"
"382" "India" "BR_Mala-1"
"383" "Vietnam" "HG01846"
"384" "Finland" "HG00190"
"385" "Kenya" "T_Ogiek-2"
"386" "Cameroon" "T_Tikar_South-2"
"387" "India" "S_Relli-2"
